name,channel_url,channel_handle,integration_price_inr,dedicated_price_inr,niche,notes,subscriber_count,total_views,video_count,channel_id
SHEIKH SOYAB,https://www.youtube.com/@sheikhsoyab-m6q,sheikhsoyab-m6q,400.0,,,non betting,491000,265883299,238,UCUr2qnbyNzX9a-S1mXFOKPA
BOOM GAMING FF,https://www.youtube.com/@boomgamingff2060,boomgamingff2060,30000.0,,,non betting,1150000,91085422,1559,UCj3LT93hu1CXAT6jr_44hYQ
YFYT,https://www.youtube.com/@yfyt99,yfyt99,150.0,,,betting,102000,13381819,418,UCCL3SfjrdSHW05AoDfDMd-g
Surjo Bhai,https://www.youtube.com/@Surjo_Bhai,Surjo_Bhai,23000.0,,,,163000,31384423,164,UC6MwF7gJKzK7Na-49KpvcUw
R.I.S. Plays,https://www.youtube.com/@RisPlays,RisPlays,44000.0,,,,340000,164709035,936,UCiBhcNqKA7bZQcZ_bhhyGoQ
R.I.S. Gaming,https://www.youtube.com/@RisGaming,RisGaming,35000.0,,,,315000,46566023,409,UChtMaY-eJxoprHBrpJfy18A
SPICY TAMIM,https://youtube.com/@spicytamim,spicytamim,2000.0,,,,35300,577868,9,UCUPkn5_VpjmYvD2yLpB0dKA
Official Vinu Raj,https://www.youtube.com/@officialvinu09,officialvinu09,40000.0,,,,6090000,1281903706,1433,UCDJ58HYT6yORv0eGyuN32dQ
History Drama SJ,https://www.youtube.com/channel/UCgukoeteY2WdG0YnVigACWQ,UCgukoeteY2WdG0YnVigACWQ,7000.0,,,,26100,3393158,41,UCgukoeteY2WdG0YnVigACWQ
Fun King Entertainment,https://www.youtube.com/@funkingentertainment8612,funkingentertainment8612,10000.0,,,,535000,180382792,428,UCC7AqoY24AnbFnDHyoUNptw
ARK FF,https://www.youtube.com/@arkffofc,arkffofc,,,"gaming, FF",,366000,33202950,369,UCre6_ONr6MKNNnkijT-rwHw
TANISHQ GAMING,https://www.youtube.com/@tanishqgaming,tanishqgaming,,,"gaming, FF",,699000,65720373,2184,UCb0s1I8wocxPMO4l_4XrGlg
Beston,https://www.youtube.com/@beston_gamerz,beston_gamerz,30000.0,,,,3750,504917,92,UCuUnAHTB_2y3OsJNBGdSqGA
ujjal sikdar,https://www.youtube.com/@ujjalsikdar.3628,ujjalsikdar.3628,,,,x,231000,42651933,360,UCil9sE38juRn8Fcpfjd3oMQ
Unnati Tomar,https://www.youtube.com/@unnatitomarrr,unnatitomarrr,,,,x,110000,41953202,119,UC2JzWahjSpGrYNADrN2kHmQ
SouvikD,https://www.youtube.com/@SOUVIKD1,SOUVIKD1,,,,x,372000,489647,38,UCAgVTF4z24hU6reCq5sqoSA
Elostazzzz,https://youtube.com/@elostazzzz,elostazzzz,,,,x,445000,95886499,371,UCHTRTIfoX0ud0wv3U00rmaA
Shawar,https://www.youtube.com/@shawarvlogs,shawarvlogs,,,,x,15300000,6177744938,2036,UCUSdNXmG2LlNS01ptoq24MA
Cricket SuperFans,https://www.youtube.com/@CricketSuperFans,CricketSuperFans,,,cricket (non bet),,2070000,206689866,3296,UCISUX-jtA04ktQiknXYZwCw
Prafulla Lama,https://www.youtube.com/@prafullalama07,prafullalama07,,,food vlogs,,156000,13878315,110,UCD_DtkhrW8q6uo-XZgVVXnw
Yang Is Live,https://www.youtube.com/@Yangislivee/featured,Yangislivee,,,live stream,,908000,245528250,1508,UCf7coqmQub3uXYhVgmTimPg
Cinemastic,https://www.youtube.com/@Cinemastic23,Cinemastic23,,,Entertainment,,228000,65898245,150,UCxHtNH7NDSxeAXdDOnIRTKw
local Boi Nani,https://www.youtube.com/@localBoiNani,localBoiNani,,,,x,2320000,1110446346,738,UCjcOOMlguOxtkJo-MrA3TNg
Sasta vlogger,https://www.youtube.com/@Sastavloggeryt,Sastavloggeryt,2000.0,,,,11700,4024744,276,UCRDCDmBYmNsvezVQozIQ8GQ
Kdlife,https://www.youtube.com/@kdlifee,kdlifee,15000.0,,,,504000,94139004,358,UCL4bCRcSpvpICNbMv19uBYw
Saqlain Khan,https://www.youtube.com/@The_SaqlainKhan,The_SaqlainKhan,,,non bet,,475000,14553789,18,UCj2QYGc6dvQ7O8320zvE09A
Gulli Poris Reviews,https://youtube.com/@gulliporisreviews,gulliporisreviews,,,,,366000,159939538,330,UCeXVW7gNPjgXognJxNFoP_g
Indhu vs Nani ,https://youtube.com/@indhuvsnani,indhuvsnani,,,,,63800,36627135,165,UC3gbt21hKAqV93MiphPni-A
GULLY PORIS,https://youtube.com/@gullyporis3121,gullyporis3121,,,,,1220000,729714648,775,UC0YjNnW6alaNDb7MoFZh-ow
Telugudost Gaming,https://www.youtube.com/@TeluguDostGaming,TeluguDostGaming,,,,,612000,162787313,347,UCl1s4izms5LbnddYTJnTpqA
Akhiji Bhojpuri Comedy,https://www.youtube.com/@AkhijiBhojpuriiComedy,AkhijiBhojpuriiComedy,,,,,934000,374031159,53,UCR6apAneiTpgvEkaUvyCZEQ
Sumit Cool Lifestyle,https://www.youtube.com/@sumitcoollifestyle,sumitcoollifestyle,,,,,365000,48832108,141,UC9KK-24hntpbEwC7QILpLtA
Mr Manu Official,https://www.youtube.com/@mrmanuofficial-dl9xw,mrmanuofficial-dl9xw,,,,,132000,31288104,158,UCFXTem4FOWf0KuNjdQuvjvQ
ROFANI,https://www.youtube.com/@ROFENI,ROFENI,,,,,7320000,1814673309,963,UCUaHhKAJmEKZFdnAjScXOcQ
Finally,https://www.youtube.com/@FinallyOffl,FinallyOffl,,,,,3060000,1266207759,2496,UCi3o8sgPl4-Yt501ShuiEgA
NetworksTube - شبكة اليوتوب,https://www.youtube.com/@Networkstube,Networkstube,,,,,504000,23337099,946,UCqfwgCXAz5rRHHjPf8rH-PA
Antaryami Gaming,https://www.youtube.com/@AntaryamiGaming,AntaryamiGaming,,,,,4030000,926107872,2900,UCZXuz_mOCSadwft8wkzdrsw
Md Fizz,https://www.youtube.com/@MdFizz,MdFizz,,,,,1510000,265337307,416,UCPOjt2u1E3F26Fjcdwlc6iA
AnimeTm Talks,https://www.youtube.com/@AnimeTmTalks,AnimeTmTalks,,,,,382000,128034517,952,UC0PCABNVT8toBV3cCE2Wy-A
I Love travel and food,https://youtube.com/@ilovetravelandfoodnextlevel,ilovetravelandfoodnextlevel,,,,,1350000,220138452,1135,UC37vNZg-2CZ4YP9vIl55oag
#tag Entertainments,https://www.youtube.com/@tagEntertainmentshashtag,tagEntertainmentshashtag,,,,,946000,272482704,1105,UCPrLG6WxZxRT-gZ15F13tCw
It’s me Muskan,https://www.youtube.com/@ItsmeMuskan,ItsmeMuskan,,,,,275000,56970664,484,UCOShFwD315GJSk4ZNNXlMaQ
Markaroni,https://www.youtube.com/@Markaroni,Markaroni,,,,,768000,220556429,1091,UC62efsUgKggjHCQvabTAeUg
Daring Surya,https://www.youtube.com/@DaringSurya,DaringSurya,,,,,109000,21007576,671,UClODmfjkh4ZkdUvqQsKM6Nw
T2 Gaming,https://www.youtube.com/@T2GamingOfficial,T2GamingOfficial,,,,,304000,52829109,3722,UCKFATHmONJzOt5QDzzgh0Rw
Rj Purab,https://www.youtube.com/@RjPurab,RjPurab,,,,,819000,152332868,158,UCzyRwOcy2l-FQpsTOg8QPzw
Telugu Experiments,https://www.youtube.com/@TeluguExperiments,TeluguExperiments,,,,,1460000,650452890,1570,UCeuLwuQE8SV7WYFAOoIiI1A
Harshit PrankTv,https://www.youtube.com/@harshitpranktv1564,harshitpranktv1564,,,,,1820000,356519552,337,UC-w2iYxaNFbImVpj1j3tI3g
Prakash Solanki Official,https://www.youtube.com/@prakashsolankiofficial,prakashsolankiofficial,,,,,1520000,644986027,226,UCS6AXNN88ukQ1dNYXCqFGzg
Creative Pavan,https://www.youtube.com/@CreativePavan,CreativePavan,,,,,212000,14089787,101,UCIXGNgy4lEnsahSHkIacVIQ
NITian SAURABH,https://www.youtube.com/@nitiansaurabh,nitiansaurabh,,,,,1300000,923172039,686,UC4RCA1yNdip630A7tTmX6Cw
Amaan parkar,https://www.youtube.com/@amaaanparkar,amaaanparkar,,,,,1140000,143426093,285,UCWcQCJHYOK2ZZRA2Sym0mOw
PikaPlayz,https://www.youtube.com/@pikaisplaying,pikaisplaying,,,,,218000,137709250,1257,UC9Dv1-gJgTU8ikCwbJmuXfA
Goosebumpss,https://www.youtube.com/@Goosebumpss,Goosebumpss,,,,,170000,22045819,138,UCexx8fj1qsE8opEpUmhu5oA
Mithi official,https://www.youtube.com/@mithiofficial2652,mithiofficial2652,,,,,1050000,216272229,430,UC2_P2CFajXshQ28nshzz5rg
RMS Motivation,https://www.youtube.com/@RMSMotivation/,RMSMotivation,,,,,1330000,434165093,2954,UCOUZ2HdA33fNIstTi9MJiTA
Round2World,https://www.youtube.com/@Round2World,Round2World,,,,,2440000,332856029,157,UChCy9K0jbV525iS5W9poBVA
El Twins 2,https://youtube.com/@ELTwins2,ELTwins2,,,,,3580000,402248955,334,UCtxg2b4U8bdY-mOZgjQRvcg
ABN MASR - إبن مصر,https://www.youtube.com/@ABNMASR.,ABNMASR.,,,,,2510000,255811904,977,UC1vaRZBYk25tVQ_pZKLjvNA
DURBIN DRAMA,https://www.youtube.com/@DURBINDRAMAOFFICIAL/,DURBINDRAMAOFFICIAL,,,,,1380000,440266092,476,UC4UQUOtDeEzRBgGrssGKvvA
Wasim Ahmad Official,https://www.youtube.com/@WasimAhmadOfficial,WasimAhmadOfficial,,,,,1050000,85397412,107,UCGTU-JhnlOXKvBLfkZZLRFQ
Cine Recaps BD,https://www.youtube.com/@CineRecapsBD/,CineRecapsBD,,,,,1480000,310802955,250,UCnM1bIVGUXUIgj-8pqtw1dw
Naadan Blogger,https://youtube.com/@naadanblogger,naadanblogger,,,,,568000,200790419,413,UCQhmo4BOL08ze8juKGBvVQw
The Fit Rider 77,https://youtube.com/@thefitrider77,thefitrider77,,,,,156000,210991536,660,UCTL2bqB8y9ZiMAXQAzmHtCQ
Fitness Master Deepak,https://youtube.com/@fitnessmasterdeepak,fitnessmasterdeepak,,,,,1010000,324427438,1444,UC3WjO-25X1guoFyz7ZMkj7w
Amin Bhat,https://youtube.com/channel/UC7RCllvcIFI8EkHSl_uemJg,UC7RCllvcIFI8EkHSl_uemJg,,,,,294000,37227109,645,UC7RCllvcIFI8EkHSl_uemJg
Life Moto World,https://www.youtube.com/@LIFEMOTOWORLD,LIFEMOTOWORLD,,,,,47500,25027999,51,UCrGTm74LEpFQLdN-T6c5GFw
المحقق - شهاب محمود,https://www.youtube.com/@shehabbmahmoudd,shehabbmahmoudd,,,,,1940000,475538258,562,UCtaxmWo_H1qr5xbAPenOv1A
Abir Debbarma,https://www.youtube.com/@abirdebbarma50,abirdebbarma50,,,,,501000,126062478,242,UChkT9z4ZQrAnqambgsRYnJg
Nitesh Paswan,https://www.youtube.com/@NiteshPaswan,NiteshPaswan,,,,,1800000,944515105,409,UCMo6rPXxzfOTUZ0RXc0HdIQ
Gourab Tapadar Vlogs,https://www.youtube.com/@GourabTapadarVlogs,GourabTapadarVlogs,,,,,812000,146926540,470,UCm-buwDR0z9oFW0kMXYcavQ
Alok Loots { Finance },https://youtube.com/@alokloots,alokloots,,,,,9,158,4,UCKI2-clEi-DACdCvikTbO-w
Techno Earnz,https://youtube.com/@technoearnz,technoearnz,,,,,107000,1536433,85,UCTGf9IsAcarSWBlpOPOFXXQ
Aalyan vlogs,https://www.youtube.com/@aalyanvlogs1299,aalyanvlogs1299,,,,,3210000,930064941,1228,UCtC6-ZXP1RlEHUC31nPBySg
KAIzER,https://www.youtube.com/@KAIzER574,KAIzER574,,,,,1110000,138693632,200,UCgEatFZXBkPnOnXPYxAUPcQ
HYDRA HRISHAV,https://www.youtube.com/@HYDRAHRISHAV,HYDRAHRISHAV,,,,,735000,140383739,2233,UCehAE6hCMVAX3PkWLYQLmTQ
Shivam Trivedi,https://www.youtube.com/@shivam3vedi,shivam3vedi,,,,,1220000,243397617,507,UCdJWSUcim5IfrGW-f0RPPlQ
Motovlogger Jannu stuntz,https://www.youtube.com/@Motovloggerjannustunts,Motovloggerjannustunts,,,,,2030000,223788271,297,UCKUIE7GIVUUFpD-MFmQQMsQ
RJ Soham,https://www.youtube.com/@RJSoham,RJSoham,,,,,540000,64982023,213,UCXDT0CrEttVcx_SHaEIqoLg
Samrat Bhai,https://www.youtube.com/@SAMRATBHAI,SAMRATBHAI,,,,,846000,86331218,296,UCNthz4aHxOekgLKDDERQbAA
Rohit Bamola,https://youtube.com/@rohitbamola,rohitbamola,,,,,502000,85204930,573,UChppmmGGnO0YSAUBBxEiQKw
Doosra,https://www.youtube.com/@too,too,,,,,12100000,7772219958,239,UCZzQLLvcrATO7TsvwEV16Bg
Mohit gaming,https://youtube.com/@mohitgamingworld20,mohitgamingworld20,,,,,1220000,150970104,579,UClPNxJe-0AGuRuCEo9eWn4w
Paras Thakral Vlogs,https://www.youtube.com/@parasthakralvlogs6489,parasthakralvlogs6489,,,,,2530000,288325872,789,UCuchJgGQd4VjLoE3tmasB3Q
Aayush Sapra,https://www.youtube.com/@AayushSapra,AayushSapra,,,,,2180000,953811181,1183,UC2UWtuZR3kH-5C26HVMMB6A
Rakesh & Jeni 2.0,https://www.youtube.com/@RJ20YT,RJ20YT,,,,,1180000,492056782,999,UCItP3QP5QpfBROWY2zSarQg
Ritik jain Vlogs,https://www.youtube.com/@RitikJainVlogs,RitikJainVlogs,,,,,842000,32810591,104,UC3V5gPkrK2Y_zcAEuocWbOw
Armaan Malik,https://youtube.com/@armaanmalik2154,armaanmalik2154,,,,,8830000,3177468427,2134,UCum5kIr4aqgn9Dc21JdYCWA
HN Vlogs,https://www.youtube.com/@HNmotovlogs,HNmotovlogs,,,,,582000,183519731,798,UC_OdfpjYRf0MKDMdC60zswA
Bong Luchcha,https://www.youtube.com/@BongLuchcha,BongLuchcha,,,,,4060000,595639131,75,UCmd_Hzrp9cBwhj6I8--xjLQ
Dattrax Vlogs,https://www.youtube.com/@Honeyyyy123,Honeyyyy123,,,,,250,0,0,UCFxhc-D1pFAJC0zbxDzkKmQ
Dattrax,https://www.youtube.com/@DattraxReact,DattraxReact,,,,,133000,15465464,45,UCp_LbkQQeGpso70wCArYVNw
Rock Lama,https://www.youtube.com/@rocklamavlogs,rocklamavlogs,,,,,763000,98599878,477,UC694eH2-AyfrxhDNzIoAA_Q
Two side Gamer,https://www.youtube.com/@TwoSideGamersYT,TwoSideGamersYT,,,,,12900000,2658866059,2672,UCiDikVE7Y4_KpQwsxarj38g
Sonar Tori Multimedia,https://www.youtube.com/@SonarToriMultimedia,SonarToriMultimedia,,,,,1240000,121007744,2902,UCCVafbL81dN4VhjiJfLbkig
Rk1tv Natok,https://www.youtube.com/@RK1tvNatok,RK1tvNatok,,,,,241000,71466821,196,UC7a4drpdmapqsqEzcEfqcOA
Abbangla Tv,https://www.youtube.com/@abbanglatv,abbanglatv,,,,,1520000,755058319,221,UCJ7rQoNZaxqf4hSeOYKSBJA
Adarsh Singh Vlogs,https://youtube.com/@adarshsinghvlogs,adarshsinghvlogs,,,,,1090000,142002486,363,UCYnxo_wZs2WFmGt11SLSkYQ
Oishrat Jahan Eity,https://www.youtube.com/@OishratJahanEity,OishratJahanEity,,,,,1840000,1423659347,856,UC2O5a0f9CTvoNPAgs_MozLg
We Are One,https://www.youtube.com/@WeROne,WeROne,,,,,3740000,931491133,165,UCw5N06QIrXBg92OfOVpvWkg
Rabbit Media,https://www.youtube.com/@RabbitMedia01,RabbitMedia01,,,,,71200,11544327,14,UC_S2XbIOWnF9i49OKpgP4lg
Rabbit Entertainment,https://www.youtube.com/@Rabbitentertainments,Rabbitentertainments,,,,,2160000,640207493,68,UCDLGdc3BHB3qqmuwtoHCoBw
Indian fan railway club,https://youtube.com/@INDIANRAILWAYSFANCLUBbySATYA,INDIANRAILWAYSFANCLUBbySATYA,,,,,1320000,452895391,1939,UChfvOaELzzBqDW9oFLG_ztg
Bangla Vines,https://youtube.com/@banglavines07,banglavines07,,,,,740000,235645984,169,UCFI-ux5azQ6zgxlXl0Gog4w
Vamsi Reddy,https://www.youtube.com/@vamsireddyvlogs,vamsireddyvlogs,,,,,522000,129149945,609,UCRzhzNn9qQBEjBSqgS_nTCQ
Divyansh,https://www.youtube.com/@DivyanshCR7/,DivyanshCR7,,,,,463000,238667697,2492,UCWsqW-VTmNFs9m20deW1gMg
Tinku STR Company,https://www.youtube.com/@TinkuSTRCOMPANY,TinkuSTRCOMPANY,,,,,1010000,296546746,150,UC8BSlwoE0vBuSJLOynTCXEA
Koyel Vlogs,https://youtube.com/@koyelvlog5735,koyelvlog5735,,,,,169000,57059617,470,UCuSqlmNMrErHG9AMZGMhelw
Devika Gupta,https://www.youtube.com/@devikagupta029,devikagupta029,,,,,3100000,456941531,497,UCvlgR3RnY_JncmU7aeI4sjQ
Rajbanshi Vines,https://www.youtube.com/@RajbanshiVines,RajbanshiVines,,,,,1580000,693054770,227,UCuf8-iRV8buKOEFjHMPHXdw
Shafi Zone,https://www.youtube.com/@ShafiZone,ShafiZone,,,,,1700000,710508866,1811,UCw5_yzVcT8wDJ3mCbYQBnfg
Rishi Official,https://youtube.com/@rishiofffical,rishiofffical,,,,,100000,15086883,40,UCKHdf4NkaokvXGS-mjMN0vg
Gaming Subrata,https://www.youtube.com/@gamingsubrata,gamingsubrata,,,,,2540000,86306618,241,UCDn21-5oLWeixS-N8iWiAFA
Ashok Ponda,https://www.youtube.com/@ashokponda,ashokponda,,,,,363000,121528369,292,UCwpmPP4XDuha6LqJ3q9sJ3w
